hour,demand,gas_price,electricity_price,wind_generation,solar_generation,gas_generation,total_generation,marginal_generator,shortfall
1,19678.0,70,68.24200000000002,4620.636688336765,0.0,15057.363311663234,19678.0,gas1,0.0
2,19120.0,72,61.4178,4597.671370887062,0.0,14522.328629112937,19120.0,gas2,0.0
3,18861.5,73,62.270824999999995,4598.589675001962,0.0,14262.91032499804,18861.5,gas2,0.0
4,18708.0,72,61.4178,4603.88273309193,0.0,14104.11726690807,18708.0,gas2,0.0
5,19211.0,72,61.4178,4721.793569818957,24.97864929662686,14464.227780884416,19211.0,gas2,0.0
6,21987.0,75,73.11642857142859,5238.8717044000905,913.1340953696437,15834.994200230267,21987.0,gas1,0.0
7,24709.0,75,73.11642857142859,5235.334229486952,3174.547495014083,16299.118275498964,24709.0,gas1,0.0
8,26039.5,78,66.53595,5877.102168328659,5486.474990429964,14675.92284124138,26039.500000000004,gas2,-3.637978807091713e-12
9,26908.0,78,66.53595,6578.5580958256,7531.223327286814,12798.218576887586,26908.0,gas2,0.0
10,27270.0,79,67.388975,7152.842613907836,8037.558362376267,12079.599023715899,27270.0,gas2,0.0
11,27878.5,79,67.388975,8222.318107053661,7249.330090032163,12406.851802914178,27878.5,gas2,0.0
12,27797.0,79,67.388975,7873.176824705901,5891.057329634261,14032.76584565984,27797.0,gas2,0.0
13,27358.5,82,69.94805,7766.767130249113,6516.046511410255,13075.68635834063,27358.5,gas2,0.0
14,27315.0,84,71.6541,7997.365915084966,6339.718706057567,12977.915378857466,27315.0,gas2,0.0
15,27601.5,82,69.94805,8746.168685792982,6244.344188685592,12610.987125521424,27601.499999999996,gas2,3.637978807091713e-12
16,28713.0,81,69.09502499999999,9178.029464586298,5864.6697175905365,13670.300817823165,28713.0,gas2,0.0
17,30309.5,83,80.9155142857143,9718.353643506525,4916.238136574595,15674.908219918878,30309.5,gas1,0.0
18,30541.0,82,79.94062857142859,9724.12112702674,3385.8910596146375,17430.987813358624,30541.0,gas1,0.0
19,29731.5,82,79.94062857142859,9634.714642593972,2299.5121152588886,17500.0,29434.226757852863,gas1,297.27324214713735
20,29066.5,78,76.04108571428573,9895.97488225266,1624.5781300851775,17500.0,29020.553012337838,gas1,45.94698766216243
21,28155.0,78,76.04108571428573,9679.494618945257,612.8707924639546,17500.0,27792.365411409213,gas1,362.63458859078673
22,25880.5,75,73.11642857142859,9467.96366159228,73.48974915676942,16339.046589250953,25880.5,gas1,0.0
23,23404.5,77,65.682925,9857.597435931102,0.0027672303367818687,13546.89979683856,23404.5,gas2,0.0
24,21738.5,74,56.110088888888896,10229.501724634527,0.0,11508.998275365473,21738.5,gas3,0.0
25,21004.5,72,54.59360000000001,9970.339076710728,0.0,11034.160923289273,21004.5,gas3,0.0
26,20163.0,74,56.110088888888896,10827.855463589103,0.0,9335.144536410895,20163.0,gas3,0.0
27,19803.5,76,51.86392000000001,12446.14517521108,0.0,7357.354824788919,19803.5,gas4,0.0
28,19362.0,78,53.22876,12330.169046722836,0.0,7031.830953277164,19362.0,gas4,0.0
29,19987.0,77,58.384822222222226,10808.312037138185,11.28649204286059,9167.401470818953,19987.0,gas3,0.0
30,22829.5,80,68.242,9791.53206701003,568.2367204822272,12469.731212507744,22829.5,gas2,0.0
31,25693.5,84,71.6541,9943.014698877147,2362.565722041901,13387.91957908095,25693.5,gas2,0.0
32,27458.5,85,72.507125,10171.088635408902,5281.521000276026,12005.890364315073,27458.5,gas2,0.0
33,28124.0,87,65.96726666666667,10238.712828955238,7924.112001837211,9961.175169207552,28124.000000000004,gas3,-3.637978807091713e-12
34,27768.5,85,64.45077777777779,9114.561884198616,9255.958071558964,9397.98004424242,27768.5,gas3,0.0
35,27374.0,89,60.735380000000006,8131.184244633594,10871.343459285777,8371.472296080625,27373.999999999996,gas4,3.637978807091713e-12
36,27245.5,93,70.51673333333333,7359.233839055271,10722.183452682097,9164.082708262631,27245.5,gas3,0.0
37,26428.5,97,73.54971111111112,6579.494264655988,10707.558588211381,9141.447147132632,26428.5,gas3,0.0
38,25799.5,93,70.51673333333333,6160.923179656473,10877.447021958109,8761.129798385417,25799.5,gas3,0.0
39,25925.5,95,64.82990000000001,6009.8068204604115,11451.389786183729,8464.303393355858,25925.499999999996,gas4,3.637978807091713e-12
40,26753.5,99,75.06620000000001,6202.392548522193,9071.163877685043,11479.943573792763,26753.5,gas3,0.0
41,27856.0,97,82.74342499999999,5746.683936862846,7619.722314339109,14489.59374879804,27855.999999999996,gas2,3.637978807091713e-12
42,28454.0,99,96.51368571428573,4458.56822936652,5891.109821469165,17500.0,27849.678050835686,gas1,604.321949164314
43,28777.0,97,94.5639142857143,4360.853547826299,5356.20359518517,17500.0,27217.05714301147,gas1,1559.9428569885313
44,28354.0,93,90.66437142857144,4782.006121993513,3713.3635583637465,17500.0,25995.36968035726,gas1,2358.63031964274
45,27798.0,92,89.68948571428572,4913.892539397383,1411.7995451567915,17500.0,23825.692084554175,gas1,3972.3079154458246
46,25987.5,93,90.66437142857144,6123.604546469164,119.64032137466172,17500.0,23743.244867843827,gas1,2244.255132156173
47,23106.0,94,91.63925714285716,6313.910416538812,0.0027672303367818687,16792.08681623085,23106.0,gas1,0.0
48,21596.5,92,78.4783,6850.998955685849,0.0,14745.501044314151,21596.5,gas2,0.0
49,21082.5,96,81.89039999999999,7735.818609858542,0.0,13346.681390141457,21082.5,gas2,0.0
50,20563.5,96,72.79146666666668,8716.392207833182,0.0,11847.107792166818,20563.5,gas3,0.0
51,20289.5,95,81.037375,8231.365280406022,0.0,12058.134719593978,20289.5,gas2,0.0
52,19999.5,99,84.449475,7872.505878048903,0.0,12126.994121951098,19999.5,gas2,0.0
53,20402.5,97,82.74342499999999,7366.759857102801,4.303847710853207,13031.436295186344,20402.5,gas2,0.0
54,23250.5,94,91.63925714285716,7476.265855868282,271.8612405998029,15502.372903531912,23250.499999999996,gas1,3.637978807091713e-12
